"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[117]",-4.26640359966168,0.202430710750246,-4.67019003961397,-4.40277125568433,-4.26480438138011,-4.12507208342344,-3.87426912221856,1.00173209329386,1600
"mu[118]",-4.56388987224017,0.203149398642793,-4.95972508271214,-4.70086540238779,-4.56364116661442,-4.42546024009026,-4.1767456195262,1.00198067672571,1400
"mu[119]",-5.19829691668633,0.211824085641433,-5.60508313987238,-5.3370699585916,-5.19770845756185,-5.04902599620041,-4.78770856088717,1.00186295315176,1500
"mu[120]",-5.01966996098244,0.208851363231501,-5.42614214063077,-5.16038584744575,-5.01796640201176,-4.87446763104152,-4.61529871968781,1.00152782185841,1900
"mu[121]",-4.4720383404364,0.29337667345543,-5.03169298398811,-4.67002632335059,-4.47236146581365,-4.27192864735064,-3.90441702333807,1.00079651331995,3000
"mu[122]",-4.73199642596898,0.236814775816066,-5.19884142439095,-4.89213930508649,-4.73003151747188,-4.56578413737759,-4.27820376542807,1.00060254606829,3000
"mu[123]",-4.48851389947718,0.224046577795171,-4.92938592182349,-4.63944791199908,-4.48630058935462,-4.33664185116202,-4.05579581141256,1.00066969007685,3000
"mu[124]",-4.26164408939552,0.219107111170811,-4.68950394369751,-4.40535606840237,-4.26504048812681,-4.11011733937545,-3.83284088377776,1.00060516241283,3000
"mu[125]",-4.46034105400753,0.221057569132361,-4.89108124893495,-4.60991175919378,-4.45653346192203,-4.31461667492862,-4.02400592601995,1.00056843895499,3000
"mu[126]",-4.88673329266705,0.223078686295646,-5.31979958566113,-5.0401390161857,-4.88348196343375,-4.74114984022839,-4.44026839176545,1.00066770514987,3000
"mu[127]",-5.09320825454474,0.222675689486618,-5.52434855947858,-5.24247635429713,-5.09304511257419,-4.94272793898206,-4.65263489063109,1.00070159565266,3000
"mu[128]",-5.42810570622507,0.225681643648209,-5.86575678001445,-5.58140544409104,-5.43161564602381,-5.2810217244496,-4.9786688769114,1.0005772591018,3000
"mu[129]",-5.11933428108363,0.228556101407298,-5.55979697288039,-5.27290029547137,-5.11797453759121,-4.96583097490806,-4.66376642910541,1.00059864000207,3000
"mu[130]",-5.85336673820317,0.307308383364176,-6.47433072561543,-6.05920042138448,-5.85444989412012,-5.64600390392878,-5.26116037305012,1.00053849608215,3000
"mu[131]",-5.49422964954498,0.300030986515615,-6.10903094963567,-5.6956865125421,-5.49446900887735,-5.28971556941677,-4.9168410803599,1.00060606846913,3000
"mu[132]",-5.32938233100541,0.299687862908691,-5.93850730560311,-5.53267643196283,-5.32646673644538,-5.11945605479875,-4.75822118472603,1.00057662868621,3000
"mu[133]",-5.50769949907285,0.302084026829043,-6.13358301766724,-5.71154749255984,-5.50774633823874,-5.29725725482819,-4.92215027287266,1.00060272767242,3000
"mu[134]",-5.73446829144354,0.304567042476023,-6.36234314478709,-5.94368318030102,-5.73266549051822,-5.52269556010946,-5.14886530015495,1.00053119424913,3000
"mu[135]",-5.63852896648603,0.301112988689229,-6.24562900701339,-5.84035287398004,-5.63924971792222,-5.42669918499946,-5.07473342064947,1.00056061849731,3000
"mu[136]",-5.71958731444389,0.302913388840557,-6.33126217218413,-5.91988389326815,-5.7198867226242,-5.517834538251,-5.11752978430215,1.00056249498326,3000
